,Unnamed: 0,Raw_Tweets,Tweet_Subjectivity,Tweet_Polarity
49,49,oh sorry think retweeting,1.0,-0.5
50,50,broadband plan massive broken promise via www diigo com tautao still waiting broadband,0.7,-0.2
51,51,wow tons replies may unfollow see friends tweets scrolling feed lot,1.0,0.1
52,52,duck chicken taking wayyy long hatch,0.675,-0.325
53,53,put vacation photos online yrs ago pc crashed forget name site,0.0,0.0
54,54,need hug,0.0,0.0
55,55,not sure pos much want dont think trade away company assets sorry andy,0.6962962962962962,-0.18333333333333335
56,56,hate happens,0.9,-0.8
57,57,sad feeling dallas not going show gotta say though think shows would use music game mmm,0.7,-0.45
58,58,ugh 92 degrees tomorrow,0.0,0.0
59,59,u move thought u already sd hmmm random u found glad hear yer well,0.75,0.0
60,60,miss ps3 commission wutcha playing copped blood sand,0.0,0.0
61,61,leaving parking lot work,0.0,0.0
62,62,life cool not,0.65,0.35
63,63,sadly though never gotten experience post coitus cigarette never,1.0,-0.5
64,64,nice day bad rain comes tomorrow 5am,0.8333333333333333,-0.04999999999999993
65,65,bad around lost job even pay phone bill lmao aw shucks,0.8333333333333333,-0.04999999999999993
66,66,damm back school tomorrow,0.0,0.0
67,67,mo jobs money hell min wage 4 f n clams hour,0.0,0.0
68,68,not forever see soon,0.0,0.0
69,69,agreed saw failwhale allllll day today,0.0,0.0
70,70,oh haha dude dont really look em unless someone says hey added sorry terrible need pop,0.625,-0.275
71,71,sure right need start working nikster jared least,0.6082010582010581,0.1619047619047619
72,72,really hate people diss bands trace clearly not ugly,0.95,-0.22500000000000003
73,73,gym attire today puma singlet adidas shorts black business socks leather shoes lucky not run cute girls,0.7555555555555555,0.2222222222222222
74,74,show location,0.0,0.0
75,75,picnic phone smells like citrus,0.0,0.0
76,76,donkey sensitive comments nevertheless glad see mug asap charger still awol,0.95,0.3
77,77,new csi tonight fml,0.45454545454545453,0.13636363636363635
78,78,think arms sore tennis,0.0,0.0
79,79,wonders someone u like much make unhappy split seccond depressed,0.55,-0.19999999999999998
80,80,sleep soon hate saying bye see tomorrow night,0.9,-0.8
81,81,got ur newsletter fares really unbelievable shame already booked paid mine,1.0,-0.25
82,82,missin boo,0.0,0.0
83,83,itm,0.0,0.0
84,84,damn chalk chalkboard useless,0.2,-0.5
85,85,blast getty villa hates sore throat day getting worse,0.6,-0.4
86,86,hey missed ya meeting sup mama,0.0,0.0
87,87,tummy hurts wonder hypnosis anything working get stop smoking,0.0,0.0
88,88,always fat ones,0.0,0.0
89,89,sorry babe fam annoys thankfully asleep right muahaha evil laugh,0.6589285714285714,-0.2285714285714286
90,90,paid attention covered photoshop webpage design class undergrad,0.0,0.0
91,91,wednesday b day know 2,0.0,0.0
92,92,poor cameron hills,0.6,-0.4
93,93,pray please ex threatening start sh babies 1st birthday party jerk still headache,0.0,0.0
94,94,hmm u really enjoy problems constants u think things find someone ulike,0.5,0.4
95,95,strider sick little puppy,0.6785714285714286,-0.45089285714285715
96,96,rylee grace wana go steve party not sadly since easter wnt b able 2 much ohh well,0.6083333333333333,0.31666666666666665
97,97,hey actually one bracket pools bad one money,0.3833333333333333,-0.3499999999999999
98,98,follow either work,0.0,0.0
99,99,bad nite favorite teams astros spartans lose nite w good,0.7555555555555555,0.1666666666666667
